apt_name,source,rating,review_year,title,text,url
Seven07,apartments.com,2,4/30/20,Refusal to complete work orders/terrible appliances and front office manners,Consistently expect appliances to break or cease working. Complex will mark your work orders as complete and no one will ever show up to conduct maintenance. Front office very rude and won't even acknowledge you once your lease is signed. Security guard with the beard is unbelievably rude and has sworn and been aggressive with myself and other residents.,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Seven07,apartments.com,5,10/12/23,Best Apartment Complex In Champaign,"I have had such a wonderful experience living at Seven07, I lived here the past 2 years and just renewed my lease for another year! The leasing office is great, the apartment complex is always clean and well put together. The amenities are the best in town as well, so happy to call Seven07 home.",https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Seven07,apartments.com,4,4/8/24,Very comfortable,Staff were always super nice. Apartments are very big. Gym equipment is not the best and I wished they opened the pool earlier not on May.,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Seven07,apartments.com,5,3/19/26,Seven07,Great amenities and the location is top notch. Always different events going on!,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Seven07,apartments.com,5,3/25/26,Great place to live,Super close to campus and the building offers nice amenities!,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Seven07,apartments.com,4,3/25/26,review,the apartment has great amenities for its residents. Maintenance issues are always handled in a timely manner.,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Seven07,apartments.com,5,3/25/26,Monster drinks,Because they got infinite monsters that are super great,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Here,Yelp,5,3/26/26,,"Amazing apartment, ran by very competent people. When needing assistance staff is always available and helpful. Could not recommend enough!",https://www.yelp.com/biz/here-champaign-champaign-3
Here,Yelp,1,9/3/25,,Terrible place to sign. Expect constant racism and discrimination. They will send people to intimidate you long after lease ends. Personally got threthened with police action for putting up a Yelp review. Got injured in the building they made me homeless. Please sign elsewhere,https://www.yelp.com/biz/here-champaign-champaign-4
Here,Yelp,1,11/25/25,,"Don't ever live here. The fan is EXTREMELY NOISY , very inhabitable. That noise coming from the air conditioner and fan is so loud that l can't even sleep and study at all. Apartment said that they will fix this but they broke it even worse! Now I've had no heat for days. Also the sound insulation is terrible here, you can hear the sound from room next to you easily. RUN FAST! WORST place to live.",https://www.yelp.com/biz/here-champaign-champaign-5
Here,Yelp,5,10/16/25,,"Beautiful place ! My husband and I love the apartments, My daughter love it ! Great walk through, all the amenities are in excellent shape! the tour was phenomenal!",https://www.yelp.com/biz/here-champaign-champaign-6
Here,Yelp,1,6/26/25,,"0/5 if I could. This really is one of the worst apartments in Champaign. It is so expensive to begin with and you end up paying for amenities that never work and for an ""industrial"" look (a cheap and unfinished apt). The leasing agents and managers there are notoriously unhelpful. Whether its parking issues, the car elevator breaking, noise issues, keys not working, broken cabinets, etc they do the bare minimum. Instead of checking apts before leasing them back out they will give you a filthy disgusting apt and then blame you for the previous tenants distruction. Even when calling to ask about how to fix this/ prove that it was not me, they ignored calls and sent the charge to debt collectors. All of which occurred 2 years after I had moved out. They claim to check each apt before a new tenant moves in however this is a complete lie and scam to try and charge you more money. Its astonishing how rude and ignorant these people are.",https://www.yelp.com/biz/here-champaign-champaign-7
Here,Yelp,5,7/25/25,,"My son began looking for apartments for his senior year early Fall for the next school year. We were impressed with the professionalism, the willingness to help, and the overall offerings at HERE. They took time to answer questions, provide information, and be available. The signing process was easy and convenient. So far so good.",https://www.yelp.com/biz/here-champaign-champaign-8
Here,Yelp,5,1/22/25,,"Living at HERE has been an amazing experience. I absolutely love my apartment, especially the view it's one of my favorite things and it makes coming home after a long day of classes feel so much better. The gym is my favorite amenity it is super convenient that I can get a quick workout before classes and I dont have to leave the comfort of my building. I also really appreciate that the leasing office is in the building. The staff are always so friendly and willing to help with any questions or concerns I have, especially when it comes to payment or maintenance issues. They're quick to respond and genuinely make living on my own stress free. Overall, I couldn't be happier with my decision to live at HERE Champaign, so much so that I am staying here another year!",https://www.yelp.com/biz/here-champaign-champaign-9
Here,Yelp,5,9/20/25,,"I had an amazing experience at HERE champaign, living here changed my collage experience I loved my roommate's and I loved using the tanning facility's and the bowling alley. 100% would recommend cant wait for my renewal!",https://www.yelp.com/biz/here-champaign-champaign-10
Here,Yelp,5,7/1/25,,"Staff is very friendly, building is clean and very nice! Sushi right in the building is a bonus!",https://www.yelp.com/biz/here-champaign-champaign-11
Hub,Yelp,5,4/28/23,,Love living here so fun and the amenities are so nice! I already signed for next year and I'm excited to see what events they keep putting on. Worth the money and all my friends love coming over!,https://www.yelp.com/biz/hub-champaign-daniel-champaign
Hub,Yelp,1,5/11/22,,"We had trash thrown from upstairs resident from the day we moved in, and which still haven't been solved. Everyday there are new trash appear on the platform in front of the living room window. It is not pleasant at all. Me and my roommate contacted the manager for so many times, and was told cameras will be placed to catch who threw the trash and cleaners will come to clean the platform. NONE OF THESE PROMISES HAPPENED!! And then, she started to ignore our compliance emails without solving the problems. We submitted maintenance requests, every time the maintenance person comes, he tells us it will be solve soon, but it never did. Now, it's summer time, there are so many flies flying in and out of our unit. This is so disappointing, the manager doesn't care at all!",https://www.yelp.com/biz/hub-champaign-daniel-champaign
